CompanionKey,RespondentID,CompanionGroup,dwh_create_date
179,94214,Colleagues / Business partner,2025-09-14 10:55:31.923000000
180,94214,Family,2025-09-14 10:55:31.923000000
181,94214,Friends,2025-09-14 10:55:31.923000000
182,94215,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
183,94216,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
184,94225,Family,2025-09-14 10:55:31.923000000
185,94226,Friends,2025-09-14 10:55:31.923000000
186,94227,Family,2025-09-14 10:55:31.923000000
187,94647,Colleagues / Business partner,2025-09-14 10:55:31.923000000
188,94741,Colleagues / Business partner,2025-09-14 10:55:31.923000000
189,94803,Friends,2025-09-14 10:55:31.923000000
190,94804,Colleagues / Business partner,2025-09-14 10:55:31.923000000
191,94804,Friends,2025-09-14 10:55:31.923000000
192,94805,Alone,2025-09-14 10:55:31.923000000
193,94805,Friends,2025-09-14 10:55:31.923000000
194,94806,Colleagues / Business partner,2025-09-14 10:55:31.923000000
195,94806,Friends,2025-09-14 10:55:31.923000000
196,94838,Alone,2025-09-14 10:55:31.923000000
197,94868,Colleagues / Business partner,2025-09-14 10:55:31.923000000
198,94868,Friends,2025-09-14 10:55:31.923000000
199,94869,Friends,2025-09-14 10:55:31.923000000
200,94870,Family,2025-09-14 10:55:31.923000000
201,94870,Friends,2025-09-14 10:55:31.923000000
202,94871,Alone,2025-09-14 10:55:31.923000000
203,94981,Alone,2025-09-14 10:55:31.923000000
204,94984,Friends,2025-09-14 10:55:31.923000000
205,94985,Friends,2025-09-14 10:55:31.923000000
206,94986,Friends,2025-09-14 10:55:31.923000000
207,94987,Friends,2025-09-14 10:55:31.923000000
208,94988,Friends,2025-09-14 10:55:31.923000000
209,94991,Friends,2025-09-14 10:55:31.923000000
210,95051,Alone,2025-09-14 10:55:31.923000000
211,95052,Family,2025-09-14 10:55:31.923000000
212,95055,Colleagues / Business partner,2025-09-14 10:55:31.923000000
213,95055,Friends,2025-09-14 10:55:31.923000000
214,95189,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
215,95189,Friends,2025-09-14 10:55:31.923000000
216,95189,Colleagues / Business partner,2025-09-14 10:55:31.923000000
217,95189,Family,2025-09-14 10:55:31.923000000
218,95190,Colleagues / Business partner,2025-09-14 10:55:31.923000000
219,95190,Alone,2025-09-14 10:55:31.923000000
220,95190,Family,2025-09-14 10:55:31.923000000
221,95190,Friends,2025-09-14 10:55:31.923000000
222,95191,Family,2025-09-14 10:55:31.923000000
223,95191,Friends,2025-09-14 10:55:31.923000000
224,95192,Colleagues / Business partner,2025-09-14 10:55:31.923000000
225,95192,Friends,2025-09-14 10:55:31.923000000
226,95193,Family,2025-09-14 10:55:31.923000000
227,95193,Friends,2025-09-14 10:55:31.923000000
228,95250,Family,2025-09-14 10:55:31.923000000
229,95250,Friends,2025-09-14 10:55:31.923000000
230,95252,Colleagues / Business partner,2025-09-14 10:55:31.923000000
231,95252,Friends,2025-09-14 10:55:31.923000000
232,95253,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
233,95253,Friends,2025-09-14 10:55:31.923000000
234,95254,Friends,2025-09-14 10:55:31.923000000
235,95719,Family,2025-09-14 10:55:31.923000000
236,95719,Friends,2025-09-14 10:55:31.923000000
237,95720,Colleagues / Business partner,2025-09-14 10:55:31.923000000
238,95720,Friends,2025-09-14 10:55:31.923000000
239,95723,Colleagues / Business partner,2025-09-14 10:55:31.923000000
240,95723,Friends,2025-09-14 10:55:31.923000000
241,95725,Colleagues / Business partner,2025-09-14 10:55:31.923000000
242,95725,Friends,2025-09-14 10:55:31.923000000
243,95727,Colleagues / Business partner,2025-09-14 10:55:31.923000000
244,95727,Family,2025-09-14 10:55:31.923000000
245,95727,Friends,2025-09-14 10:55:31.923000000
246,95729,Colleagues / Business partner,2025-09-14 10:55:31.923000000
247,95729,Family,2025-09-14 10:55:31.923000000
248,95729,Friends,2025-09-14 10:55:31.923000000
249,95731,Friends,2025-09-14 10:55:31.923000000
250,95733,Friends,2025-09-14 10:55:31.923000000
251,95770,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
252,95770,Friends,2025-09-14 10:55:31.923000000
253,95771,Colleagues / Business partner,2025-09-14 10:55:31.923000000
254,95771,Friends,2025-09-14 10:55:31.923000000
255,95772,Friends,2025-09-14 10:55:31.923000000
256,95773,Family,2025-09-14 10:55:31.923000000
257,95834,Friends,2025-09-14 10:55:31.923000000
258,95834,Colleagues / Business partner,2025-09-14 10:55:31.923000000
259,95847,Friends,2025-09-14 10:55:31.923000000
260,95848,Family,2025-09-14 10:55:31.923000000
261,95848,Friends,2025-09-14 10:55:31.923000000
262,95908,Colleagues / Business partner,2025-09-14 10:55:31.923000000
263,95908,Family,2025-09-14 10:55:31.923000000
264,95908,Alone,2025-09-14 10:55:31.923000000
265,95908,Friends,2025-09-14 10:55:31.923000000
266,95909,Colleagues / Business partner,2025-09-14 10:55:31.923000000
267,95909,Family,2025-09-14 10:55:31.923000000
268,95909,Friends,2025-09-14 10:55:31.923000000
269,95910,Family,2025-09-14 10:55:31.923000000
270,95910,Alone,2025-09-14 10:55:31.923000000
271,95910,Friends,2025-09-14 10:55:31.923000000
272,95911,Colleagues / Business partner,2025-09-14 10:55:31.923000000
273,95911,Family,2025-09-14 10:55:31.923000000
274,95911,Friends,2025-09-14 10:55:31.923000000
275,95912,Colleagues / Business partner,2025-09-14 10:55:31.923000000
276,95912,Family,2025-09-14 10:55:31.923000000
277,95912,Alone,2025-09-14 10:55:31.923000000
278,95912,Friends,2025-09-14 10:55:31.923000000
279,95913,Colleagues / Business partner,2025-09-14 10:55:31.923000000
280,95913,Family,2025-09-14 10:55:31.923000000
281,95913,Friends,2025-09-14 10:55:31.923000000
282,96122,Colleagues / Business partner,2025-09-14 10:55:31.923000000
283,96122,Friends,2025-09-14 10:55:31.923000000
284,96306,Friends,2025-09-14 10:55:31.923000000
285,96307,Family,2025-09-14 10:55:31.923000000
286,96308,Friends,2025-09-14 10:55:31.923000000
287,96500,Family,2025-09-14 10:55:31.923000000
288,96542,Alone,2025-09-14 10:55:31.923000000
289,96566,Family,2025-09-14 10:55:31.923000000
290,96567,Friends,2025-09-14 10:55:31.923000000
291,96567,Family,2025-09-14 10:55:31.923000000
292,96568,Friends,2025-09-14 10:55:31.923000000
293,96568,Family,2025-09-14 10:55:31.923000000
294,96598,Friends,2025-09-14 10:55:31.923000000
295,96599,Family,2025-09-14 10:55:31.923000000
296,96599,Friends,2025-09-14 10:55:31.923000000
297,96600,Friends,2025-09-14 10:55:31.923000000
298,96601,Colleagues / Business partner,2025-09-14 10:55:31.923000000
299,96601,Friends,2025-09-14 10:55:31.923000000
300,96602,Colleagues / Business partner,2025-09-14 10:55:31.923000000
301,96602,Friends,2025-09-14 10:55:31.923000000
302,96719,Family,2025-09-14 10:55:31.923000000
303,96719,Friends,2025-09-14 10:55:31.923000000
304,97076,Family,2025-09-14 10:55:31.923000000
305,97076,Colleagues / Business partner,2025-09-14 10:55:31.923000000
306,97076,Friends,2025-09-14 10:55:31.923000000
307,97077,Family,2025-09-14 10:55:31.923000000
308,97077,Friends,2025-09-14 10:55:31.923000000
309,97078,Family,2025-09-14 10:55:31.923000000
310,97078,Friends,2025-09-14 10:55:31.923000000
311,97079,Colleagues / Business partner,2025-09-14 10:55:31.923000000
312,97079,Friends,2025-09-14 10:55:31.923000000
313,97088,Colleagues / Business partner,2025-09-14 10:55:31.923000000
314,97088,Friends,2025-09-14 10:55:31.923000000
315,97089,Family,2025-09-14 10:55:31.923000000
316,97089,Friends,2025-09-14 10:55:31.923000000
317,97090,Colleagues / Business partner,2025-09-14 10:55:31.923000000
318,97090,Friends,2025-09-14 10:55:31.923000000
319,97091,Colleagues / Business partner,2025-09-14 10:55:31.923000000
320,97091,Family,2025-09-14 10:55:31.923000000
321,97091,Friends,2025-09-14 10:55:31.923000000
322,97099,Colleagues / Business partner,2025-09-14 10:55:31.923000000
323,97099,Friends,2025-09-14 10:55:31.923000000
324,97100,Family,2025-09-14 10:55:31.923000000
325,97100,Friends,2025-09-14 10:55:31.923000000
326,97103,Family,2025-09-14 10:55:31.923000000
327,97103,Friends,2025-09-14 10:55:31.923000000
328,97109,Family,2025-09-14 10:55:31.923000000
329,97109,Friends,2025-09-14 10:55:31.923000000
330,97111,Family,2025-09-14 10:55:31.923000000
331,97111,Friends,2025-09-14 10:55:31.923000000
332,97111,Alone,2025-09-14 10:55:31.923000000
333,97112,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
334,97112,Family,2025-09-14 10:55:31.923000000
335,97112,Friends,2025-09-14 10:55:31.923000000
336,97143,Friends,2025-09-14 10:55:31.923000000
337,97143,Colleagues / Business partner,2025-09-14 10:55:31.923000000
338,97144,Friends,2025-09-14 10:55:31.923000000
339,97144,Colleagues / Business partner,2025-09-14 10:55:31.923000000
340,97152,Colleagues / Business partner,2025-09-14 10:55:31.923000000
341,97153,Friends,2025-09-14 10:55:31.923000000
342,97195,Friends,2025-09-14 10:55:31.923000000
343,97202,Colleagues / Business partner,2025-09-14 10:55:31.923000000
344,97202,Friends,2025-09-14 10:55:31.923000000
345,97202,Family,2025-09-14 10:55:31.923000000
346,97203,Friends,2025-09-14 10:55:31.923000000
347,97213,Family,2025-09-14 10:55:31.923000000
348,97213,Friends,2025-09-14 10:55:31.923000000
349,97223,Friends,2025-09-14 10:55:31.923000000
350,97224,Family,2025-09-14 10:55:31.923000000
351,97224,Friends,2025-09-14 10:55:31.923000000
352,97229,Friends,2025-09-14 10:55:31.923000000
353,97230,Family,2025-09-14 10:55:31.923000000
354,97230,Friends,2025-09-14 10:55:31.923000000
355,97234,Friends,2025-09-14 10:55:31.923000000
356,97473,Friends,2025-09-14 10:55:31.923000000
357,97474,Family,2025-09-14 10:55:31.923000000
358,97474,Friends,2025-09-14 10:55:31.923000000
359,97476,Colleagues / Business partner,2025-09-14 10:55:31.923000000
360,97476,Family,2025-09-14 10:55:31.923000000
361,97476,Friends,2025-09-14 10:55:31.923000000
362,97484,Friends,2025-09-14 10:55:31.923000000
363,97485,Colleagues / Business partner,2025-09-14 10:55:31.923000000
364,97485,Family,2025-09-14 10:55:31.923000000
365,97485,Friends,2025-09-14 10:55:31.923000000
366,97487,Family,2025-09-14 10:55:31.923000000
367,97487,Friends,2025-09-14 10:55:31.923000000
368,97488,Friends,2025-09-14 10:55:31.923000000
369,97492,Family,2025-09-14 10:55:31.923000000
370,97493,Friends,2025-09-14 10:55:31.923000000
371,97493,Family,2025-09-14 10:55:31.923000000
372,97496,Colleagues / Business partner,2025-09-14 10:55:31.923000000
373,97496,Friends,2025-09-14 10:55:31.923000000
374,97497,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
375,97501,Family,2025-09-14 10:55:31.923000000
376,97501,Friends,2025-09-14 10:55:31.923000000
377,97503,Family,2025-09-14 10:55:31.923000000
378,97503,Friends,2025-09-14 10:55:31.923000000
379,97504,Friends,2025-09-14 10:55:31.923000000
380,97506,Family,2025-09-14 10:55:31.923000000
381,97506,Friends,2025-09-14 10:55:31.923000000
382,97507,Colleagues / Business partner,2025-09-14 10:55:31.923000000
383,97507,Friends,2025-09-14 10:55:31.923000000
384,97509,Family,2025-09-14 10:55:31.923000000
385,97509,Friends,2025-09-14 10:55:31.923000000
386,97511,Family,2025-09-14 10:55:31.923000000
387,97511,Friends,2025-09-14 10:55:31.923000000
388,97512,Family,2025-09-14 10:55:31.923000000
389,97512,Friends,2025-09-14 10:55:31.923000000
390,97513,Friends,2025-09-14 10:55:31.923000000
391,97516,Friends,2025-09-14 10:55:31.923000000
392,97536,Family,2025-09-14 10:55:31.923000000
393,97536,Friends,2025-09-14 10:55:31.923000000
394,97695,Friends,2025-09-14 10:55:31.923000000
395,97697,Family,2025-09-14 10:55:31.923000000
396,97697,Friends,2025-09-14 10:55:31.923000000
397,98051,Friends,2025-09-14 10:55:31.923000000
398,98052,Colleagues / Business partner,2025-09-14 10:55:31.923000000
399,98053,Friends,2025-09-14 10:55:31.923000000
400,98081,Friends,2025-09-14 10:55:31.923000000
401,98081,Colleagues / Business partner,2025-09-14 10:55:31.923000000
402,98099,Alone,2025-09-14 10:55:31.923000000
403,98100,Colleagues / Business partner,2025-09-14 10:55:31.923000000
404,98100,Friends,2025-09-14 10:55:31.923000000
405,98101,Friends,2025-09-14 10:55:31.923000000
406,98102,Family,2025-09-14 10:55:31.923000000
407,98102,Friends,2025-09-14 10:55:31.923000000
408,98107,Friends,2025-09-14 10:55:31.923000000
409,98113,Friends,2025-09-14 10:55:31.923000000
410,98114,Alone,2025-09-14 10:55:31.923000000
411,98115,Friends,2025-09-14 10:55:31.923000000
412,98116,Friends,2025-09-14 10:55:31.923000000
413,98116,Alone,2025-09-14 10:55:31.923000000
414,98117,Alone,2025-09-14 10:55:31.923000000
415,98119,Friends,2025-09-14 10:55:31.923000000
416,98120,Friends,2025-09-14 10:55:31.923000000
417,98121,Friends,2025-09-14 10:55:31.923000000
418,98122,Family,2025-09-14 10:55:31.923000000
419,98123,Alone,2025-09-14 10:55:31.923000000
420,98124,Colleagues / Business partner,2025-09-14 10:55:31.923000000
421,98279,Friends,2025-09-14 10:55:31.923000000
422,98280,Family,2025-09-14 10:55:31.923000000
423,98280,Friends,2025-09-14 10:55:31.923000000
424,98281,Family,2025-09-14 10:55:31.923000000
425,98281,Friends,2025-09-14 10:55:31.923000000
426,98282,Colleagues / Business partner,2025-09-14 10:55:31.923000000
427,98282,Friends,2025-09-14 10:55:31.923000000
428,98283,Family,2025-09-14 10:55:31.923000000
429,98284,Friends,2025-09-14 10:55:31.923000000
430,98284,Family,2025-09-14 10:55:31.923000000
431,98285,Friends,2025-09-14 10:55:31.923000000
432,98285,Family,2025-09-14 10:55:31.923000000
433,98509,Friends,2025-09-14 10:55:31.923000000
434,98509,Colleagues / Business partner,2025-09-14 10:55:31.923000000
435,98510,Friends,2025-09-14 10:55:31.923000000
436,98511,Friends,2025-09-14 10:55:31.923000000
437,99586,Family,2025-09-14 10:55:31.923000000
438,99586,Friends,2025-09-14 10:55:31.923000000
439,99664,Family,2025-09-14 10:55:31.923000000
440,99664,Friends,2025-09-14 10:55:31.923000000
441,99759,Family,2025-09-14 10:55:31.923000000
442,99759,Friends,2025-09-14 10:55:31.923000000
443,99772,Colleagues / Business partner,2025-09-14 10:55:31.923000000
444,99772,Friends,2025-09-14 10:55:31.923000000
445,99772,Family,2025-09-14 10:55:31.923000000
446,99802,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
447,99802,Colleagues / Business partner,2025-09-14 10:55:31.923000000
448,99802,Friends,2025-09-14 10:55:31.923000000
449,99802,Family,2025-09-14 10:55:31.923000000
450,100076,Friends,2025-09-14 10:55:31.923000000
451,100076,Colleagues / Business partner,2025-09-14 10:55:31.923000000
452,100077,Friends,2025-09-14 10:55:31.923000000
453,100077,Family,2025-09-14 10:55:31.923000000
454,100077,Colleagues / Business partner,2025-09-14 10:55:31.923000000
455,100130,Friends,2025-09-14 10:55:31.923000000
456,100130,Family,2025-09-14 10:55:31.923000000
457,100199,Colleagues / Business partner,2025-09-14 10:55:31.923000000
458,100199,Friends,2025-09-14 10:55:31.923000000
459,100201,Colleagues / Business partner,2025-09-14 10:55:31.923000000
460,100201,Family,2025-09-14 10:55:31.923000000
461,100201,Friends,2025-09-14 10:55:31.923000000
462,100210,Colleagues / Business partner,2025-09-14 10:55:31.923000000
463,100210,Friends,2025-09-14 10:55:31.923000000
464,100268,Friends,2025-09-14 10:55:31.923000000
465,100269,Family,2025-09-14 10:55:31.923000000
466,100269,Friends,2025-09-14 10:55:31.923000000
467,100356,Colleagues / Business partner,2025-09-14 10:55:31.923000000
468,100356,Family,2025-09-14 10:55:31.923000000
469,100356,Friends,2025-09-14 10:55:31.923000000
470,100364,Friends,2025-09-14 10:55:31.923000000
471,100364,Colleagues / Business partner,2025-09-14 10:55:31.923000000
472,100364,Family,2025-09-14 10:55:31.923000000
473,100501,Friends,2025-09-14 10:55:31.923000000
474,100501,Family,2025-09-14 10:55:31.923000000
475,100512,Colleagues / Business partner,2025-09-14 10:55:31.923000000
476,100512,Alone,2025-09-14 10:55:31.923000000
477,100512,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
478,100512,Friends,2025-09-14 10:55:31.923000000
479,100596,Family,2025-09-14 10:55:31.923000000
480,100664,Friends,2025-09-14 10:55:31.923000000
481,100664,Family,2025-09-14 10:55:31.923000000
482,100772,Friends,2025-09-14 10:55:31.923000000
483,100772,Colleagues / Business partner,2025-09-14 10:55:31.923000000
484,100772,Family,2025-09-14 10:55:31.923000000
485,100869,Family,2025-09-14 10:55:31.923000000
486,101124,Family,2025-09-14 10:55:31.923000000
487,101265,Friends,2025-09-14 10:55:31.923000000
488,101269,Colleagues / Business partner,2025-09-14 10:55:31.923000000
489,101450,Family,2025-09-14 10:55:31.923000000
490,101450,Friends,2025-09-14 10:55:31.923000000
491,101501,Friends,2025-09-14 10:55:31.923000000
492,101509,Colleagues / Business partner,2025-09-14 10:55:31.923000000
493,101539,Friends,2025-09-14 10:55:31.923000000
494,101539,Family,2025-09-14 10:55:31.923000000
495,101539,Colleagues / Business partner,2025-09-14 10:55:31.923000000
496,101588,Friends,2025-09-14 10:55:31.923000000
497,101611,Family,2025-09-14 10:55:31.923000000
498,101611,Friends,2025-09-14 10:55:31.923000000
499,101611,Colleagues / Business partner,2025-09-14 10:55:31.923000000
500,101810,Friends,2025-09-14 10:55:31.923000000
501,101810,Family,2025-09-14 10:55:31.923000000
502,101810,Colleagues / Business partner,2025-09-14 10:55:31.923000000
503,101838,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
504,101838,Colleagues / Business partner,2025-09-14 10:55:31.923000000
505,101838,Friends,2025-09-14 10:55:31.923000000
506,101913,Family,2025-09-14 10:55:31.923000000
507,101920,Alone,2025-09-14 10:55:31.923000000
508,101920,Colleagues / Business partner,2025-09-14 10:55:31.923000000
509,101920,Friends,2025-09-14 10:55:31.923000000
510,101921,Alone,2025-09-14 10:55:31.923000000
